"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"1990","Kevin Mitchell","Giants","140","589","35","90","93","4","9.8 %","14.8 %",".254",".287",".290",".360",".544",".393","148","-2.2","31.0","-12.1","4.2","1009004"
"1994","Kevin Mitchell","Reds","95","380","30","57","77","2","15.5 %","16.3 %",".355",".314",".326",".429",".681",".450","175","0.4","37.4","-6.7","4.2","1009004"
"1999","Reggie Sanders","Padres","133","550","26","92","72","36","11.8 %","19.6 %",".243",".319",".285",".376",".527",".390","134","1.3","26.7","-0.9","4.1","1129"
"2008","Jacoby Ellsbury","Red Sox","145","609","9","98","47","50","6.7 %","13.1 %",".114",".312",".280",".336",".394",".323","91","9.0","1.9","18.8","4.1","4727"
"1990","Lonnie Smith","Braves","135","537","9","72","42","10","10.8 %","12.8 %",".155",".338",".305",".384",".459",".376","129","-2.2","16.1","3.9","4.0","1012176"
"2011","Josh Hamilton","Rangers","121","538","25","80","94","8","7.2 %","17.3 %",".238",".317",".298",".346",".536",".369","127","3.0","19.9","0.6","4.0","1875"
"2002","Adam Dunn","Reds","158","676","26","84","71","19","18.9 %","25.1 %",".206",".313",".249",".400",".454",".373","125","1.3","22.6","-4.4","4.0","319"
"2003","Luis Gonzalez","Diamondbacks","156","679","26","92","104","5","13.8 %","9.9 %",".228",".307",".304",".402",".532",".395","134","-2.3","27.4","-9.0","4.0","55"
"2013","Chris Denorfia","Padres","144","520","10","67","47","11","8.1 %","16.2 %",".116",".319",".279",".337",".395",".323","108","3.1","7.8","12.8","3.9","4400"
"2004","Coco Crisp","Indians","139","538","15","78","71","20","6.7 %","12.8 %",".149",".320",".297",".344",".446",".341","107","-0.4","4.2","17.3","3.9","1572"
"2012","David Murphy","Rangers","147","521","15","65","61","10","10.4 %","14.2 %",".175",".333",".304",".380",".479",".369","128","1.3","18.5","1.6","3.9","6035"
"1993","Mike Greenwell","Red Sox","146","603","13","77","72","5","9.0 %","7.6 %",".165",".324",".315",".379",".480",".374","124","-0.5","17.5","2.1","3.9","1005006"
"2009","Denard Span","Twins","145","676","8","97","68","23","10.4 %","13.2 %",".104",".353",".311",".392",".415",".359","118","5.6","20.6","-5.0","3.9","8347"
"2008","Alfonso Soriano","Cubs","109","503","29","76","75","19","8.5 %","20.5 %",".252",".302",".280",".344",".532",".368","117","-0.6","10.2","11.7","3.8","847"
"2010","Ryan Braun","Brewers","157","685","25","101","103","14","8.2 %","15.3 %",".197",".331",".304",".365",".501",".378","134","4.8","32.5","-17.2","3.8","3410"
"1996","Ryan Klesko","Braves","153","605","34","90","93","6","11.2 %","21.3 %",".248",".312",".282",".364",".530",".378","130","-0.3","22.6","-1.3","3.8","1041"
"2006","Nick Swisher","Athletics","157","672","35","106","95","1","14.4 %","22.6 %",".239",".283",".254",".372",".493",".369","124","1.0","22.2","-5.9","3.8","4599"
"1991","Rickey Henderson","Athletics","134","578","18","105","57","58","17.0 %","12.6 %",".155",".283",".268",".400",".423",".374","136","4.5","29.3","-12.1","3.8","194"
